Countries,Date,Case
France,43922,56989
France,43923,59105
France,43924,64338
France,43925,68605
France,43926,70478
France,43927,74390
France,43928,78167
France,43929,82048
France,43930,86334
France,43931,90676
France,43932,93790
France,43933,120633
France,43934,124298
France,43935,129257
France,43936,132473
France,43937,144944
France,43938,146923
France,43939,146906
France,43940,151808
France,43941,154188
France,43942,156921
France,43943,154715
France,43944,157026
France,43945,158636
France,43946,160292
France,43947,160847
France,43948,164589
France,43949,167605
France,43950,165093
France,43951,165764
France,43952,165764
Italy,43922,110574
Italy,43923,115242
Italy,43924,119827
Italy,43925,124632
Italy,43926,128948
Italy,43927,132547
Italy,43928,135586
Italy,43929,139422
Italy,43930,143626
Italy,43931,147577
Italy,43932,152271
Italy,43933,156363
Italy,43934,159516
Italy,43935,162488
Italy,43936,165155
Italy,43937,168941
Italy,43938,172434
Italy,43939,175925
Italy,43940,178972
Italy,43941,181228
Italy,43942,183957
Italy,43943,187327
Italy,43944,189973
Italy,43945,192994
Italy,43946,195351
Italy,43947,197675
Italy,43948,199414
Italy,43949,201505
Italy,43950,203591
Italy,43951,205463
Italy,43952,207428
US,43922,213242
US,43923,243622
US,43924,275367
US,43925,308650
US,43926,336802
US,43927,366317
US,43928,397121
US,43929,428654
US,43930,462780
US,43931,496535
US,43932,526396
US,43933,555313
US,43934,580619
US,43935,607670
US,43936,636350
US,43937,667592
US,43938,699706
US,43939,732197
US,43940,758809
US,43941,784326
US,43942,811865
US,43943,840351
US,43944,869170
US,43945,905358
US,43946,938154
US,43947,965785
US,43948,988197
US,43949,1012582
US,43950,1039909
US,43951,1069424
US,43952,1103461
Vietnam,43922,218
Vietnam,43923,233
Vietnam,43924,237
Vietnam,43925,240
Vietnam,43926,241
Vietnam,43927,245
Vietnam,43928,249
Vietnam,43929,251
Vietnam,43930,255
Vietnam,43931,257
Vietnam,43932,258
Vietnam,43933,262
Vietnam,43934,265
Vietnam,43935,266
Vietnam,43936,267
Vietnam,43937,268
Vietnam,43938,268
Vietnam,43939,268
Vietnam,43940,268
Vietnam,43941,268
Vietnam,43942,268
Vietnam,43943,268
Vietnam,43944,268
Vietnam,43945,270
Vietnam,43946,270
Vietnam,43947,270
Vietnam,43948,270
Vietnam,43949,270
Vietnam,43950,270
Vietnam,43951,270
Vietnam,43952,270
